go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.77	0.70	0.71
0.4	0.62	0.47	0.46
0.6000000000000001	0.51	0.40	0.50
0.8	0.52	0.40	0.50
1.0	0.52	0.40	0.51
1.0	0.52	0.40	0.51
6.0	0.73	0.40	0.43
11.0	0.53	0.40	0.43
16.0	0.73	0.40	0.43
21.0	0.72	0.40	0.43
26.0	0.72	0.40	0.43
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	0.97	0.97	0.97
0.06	0.97	0.97	0.97
0.08	0.94	0.93	0.93
0.1	0.92	0.90	0.90
0.12000000000000001	0.89	0.87	0.87
0.14	0.85	0.80	0.81
0.16	0.84	0.77	0.77
0.18	0.84	0.77	0.77
0.19999999999999998	0.77	0.70	0.71
0.21999999999999997	0.78	0.70	0.69
0.23999999999999996	0.73	0.67	0.65
0.25999999999999995	0.72	0.63	0.63
0.27999999999999997	0.70	0.60	0.61
0.3	0.72	0.60	0.59
0.32	0.67	0.53	0.52
0.34	0.62	0.50	0.49
0.36000000000000004	0.65	0.53	0.52
0.38000000000000006	0.62	0.47	0.46
