gr	precision	recall	fmeasure
0.0	1.00	1.00	1.00
0.2	1.00	1.00	1.00
0.4	1.00	1.00	1.00
0.6000000000000001	1.00	1.00	1.00
0.8	1.00	1.00	1.00
1.0	1.00	1.00	1.00
6.0	1.00	1.00	1.00
11.0	1.00	1.00	1.00
16.0	1.00	1.00	1.00
21.0	1.00	1.00	1.00
26.0	1.00	1.00	1.00
gr	precision	recall	fmeasure
0.0	1.00	1.00	1.00
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	1.00	1.00	1.00
0.1	1.00	1.00	1.00
0.12000000000000001	1.00	1.00	1.00
0.14	1.00	1.00	1.00
0.16	1.00	1.00	1.00
0.18	1.00	1.00	1.00
0.19999999999999998	1.00	1.00	1.00
0.21999999999999997	1.00	1.00	1.00
0.23999999999999996	1.00	1.00	1.00
0.25999999999999995	1.00	1.00	1.00
0.27999999999999997	1.00	1.00	1.00
0.3	1.00	1.00	1.00
0.32	1.00	1.00	1.00
0.34	1.00	1.00	1.00
0.36000000000000004	1.00	1.00	1.00
0.38000000000000006	1.00	1.00	1.00
gr	precision	recall	fmeasure
0.0	1.00	1.00	1.00
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	1.00	1.00	1.00
0.1	1.00	1.00	1.00
0.12000000000000001	1.00	1.00	1.00
0.14	1.00	1.00	1.00
0.16	1.00	1.00	1.00
0.18	1.00	1.00	1.00
0.19999999999999998	1.00	1.00	1.00
0.21999999999999997	1.00	1.00	1.00
0.23999999999999996	1.00	1.00	1.00
0.25999999999999995	1.00	1.00	1.00
0.27999999999999997	1.00	1.00	1.00
0.3	1.00	1.00	1.00
0.32	1.00	1.00	1.00
0.34	1.00	1.00	1.00
0.36000000000000004	1.00	1.00	1.00
0.38000000000000006	1.00	1.00	1.00
